28609,2860*,286**,28***,2****,*****
28610,2861*,286**,28***,2****,*****
28611,2861*,286**,28***,2****,*****
28612,2861*,286**,28***,2****,*****
28613,2861*,286**,28***,2****,*****
28615,2861*,286**,28***,2****,*****
28616,2861*,286**,28***,2****,*****
28617,2861*,286**,28***,2****,*****
28618,2861*,286**,28***,2****,*****
28619,2861*,286**,28***,2****,*****
28621,2862*,286**,28***,2****,*****
28622,2862*,286**,28***,2****,*****
28623,2862*,286**,28***,2****,*****
28624,2862*,286**,28***,2****,*****
28625,2862*,286**,28***,2****,*****
28626,2862*,286**,28***,2****,*****
28627,2862*,286**,28***,2****,*****
28628,2862*,286**,28***,2****,*****
28629,2862*,286**,28***,2****,*****
28630,2863*,286**,28***,2****,*****
28631,2863*,286**,28***,2****,*****
28634,2863*,286**,28***,2****,*****
28635,2863*,286**,28***,2****,*****
28636,2863*,286**,28***,2****,*****
28637,2863*,286**,28***,2****,*****
28638,2863*,286**,28***,2****,*****
28640,2864*,286**,28***,2****,*****
28641,2864*,286**,28***,2****,*****
